Player,Span,Mat,Inn,NO,Runs,HS,Avg,100,50,0,Player Profile
D Elgar+//0AoA-(SA),2012+AC0-2019,60,104,9,3666,199,38.58,12,13,10,http://stats.espncricinfo.com/ci/content/player/230852.html
AG Prince+//0AoA-(SA),2002+AC0-2011,66,104,16,3665,162+ACo-,41.64,11,11,7,http://stats.espncricinfo.com/ci/content/player/46788.html
Mohammad Hafeez+//0AoA-(PAK),2003+AC0-2018,55,105,8,3652,224,37.64,10,12,8,http://stats.espncricinfo.com/ci/content/player/41434.html
Mushtaq Mohammad+//0AoA-(PAK),1959+AC0-1979,57,100,7,3643,201,39.17,10,19,4,http://stats.espncricinfo.com/ci/content/player/41318.html
RW Marsh+//0AoA-(AUS),1970+AC0-1984,96,150,13,3633,132,26.51,3,16,12,http://stats.espncricinfo.com/ci/content/player/6502.html
DM Jones+//0AoA-(AUS),1984+AC0-1992,52,89,11,3631,216,46.55,11,14,11,http://stats.espncricinfo.com/ci/content/player/6044.html
PR Umrigar+//0AoA-(INDIA),1948+AC0-1962,59,94,8,3631,223,42.22,12,14,5,http://stats.espncricinfo.com/ci/content/player/35577.html
BJ Watling+//0AoA-(NZ),2009+AC0-2019,67,106,15,3616,205,39.73,8,18,9,http://stats.espncricinfo.com/ci/content/player/38924.html
DL Amiss+//0AoA-(ENG),1966+AC0-1977,50,88,10,3612,262+ACo-,46.3,11,11,10,http://stats.espncricinfo.com/ci/content/player/8535.html
AW Greig+//0AoA-(ENG),1972+AC0-1977,58,93,4,3599,148,40.43,8,20,5,http://stats.espncricinfo.com/ci/content/player/13463.html
Asif Iqbal+//0AoA-(PAK),1964+AC0-1980,58,99,7,3575,175,38.85,11,12,9,http://stats.espncricinfo.com/ci/content/player/39010.html
TWM Latham+//0AoA-(NZ),2014+AC0-2019,49,86,3,3554,264+ACo-,42.81,11,16,8,http://stats.espncricinfo.com/ci/content/player/388802.html
AR Morris+//0AoA-(AUS),1946+AC0-1955,46,79,3,3533,206,46.48,12,12,4,http://stats.espncricinfo.com/ci/content/player/6644.html
EH Hendren+//0AoA-(ENG),1920+AC0-1935,51,83,9,3525,205+ACo-,47.63,7,21,4,http://stats.espncricinfo.com/ci/content/player/14158.html
DM Bravo+//0AoA-(WI),2010+AC0-2019,54,98,5,3506,218,37.69,8,17,5,http://stats.espncricinfo.com/ci/content/player/277472.html
KC Brathwaite+//0AoA-(WI),2011+AC0-2019,59,112,7,3496,212,33.29,8,17,12,http://stats.espncricinfo.com/ci/content/player/348024.html
B Mitchell+//0AoA-(SA),1929+AC0-1949,42,80,9,3471,189+ACo-,48.88,8,21,3,http://stats.espncricinfo.com/ci/content/player/46233.html
GW Flower+//0AoA-(ZIM),1992+AC0-2004,67,123,6,3457,201+ACo-,29.54,6,15,16,http://stats.espncricinfo.com/ci/content/player/55429.html
BE Congdon+//0AoA-(NZ),1965+AC0-1978,61,114,7,3448,176,32.22,7,19,9,http://stats.espncricinfo.com/ci/content/player/36611.html
JR Reid+//0AoA-(NZ),1949+AC0-1965,58,108,5,3428,142,33.28,6,22,5,http://stats.espncricinfo.com/ci/content/player/38248.html
C Hill+//0AoA-(AUS),1896+AC0-1912,49,89,2,3412,191,39.21,7,19,9,http://stats.espncricinfo.com/ci/content/player/5662.html
GA Hick+//0AoA-(ENG),1991+AC0-2001,65,114,6,3383,178,31.32,6,18,11,http://stats.espncricinfo.com/ci/content/player/14187.html
GM Wood+//0AoA-(AUS),1978+AC0-1988,59,112,6,3374,172,31.83,9,13,9,http://stats.espncricinfo.com/ci/content/player/8251.html
PJL Dujon+//0AoA-(WI),1981+AC0-1991,81,115,11,3322,139,31.94,5,16,8,http://stats.espncricinfo.com/ci/content/player/51657.html
CL Cairns+//0AoA-(NZ),1989+AC0-2004,62,104,5,3320,158,33.53,5,22,7,http://stats.espncricinfo.com/ci/content/player/36597.html
Ijaz Ahmed+//0AoA-(PAK),1987+AC0-2001,60,92,4,3315,211,37.67,12,12,7,http://stats.espncricinfo.com/ci/content/player/40551.html
